,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,522.0,607.0,678.0,714.0,755.0,766.0,753.0,788.0,831.0,613.0,888.0,1099.0,1174
Expenses,455.0,528.0,587.0,630.0,675.0,686.0,678.0,706.0,743.0,572.0,768.0,947.0,1007
Operating Profit,67.0,79.0,91.0,85.0,80.0,79.0,74.0,82.0,87.0,41.0,120.0,152.0,168
OPM %,13.0,13.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,7.0,14.0,14.0,14
Other Income,1.0,1.0,1.0,1.0,1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-3.0,9.0,16
Interest,6.0,9.0,10.0,8.0,7.0,8.0,9.0,7.0,6.0,3.0,3.0,4.0,3
Depreciation,22.0,26.0,28.0,28.0,35.0,31.0,31.0,30.0,33.0,33.0,35.0,39.0,40
Profit before tax,40.0,45.0,54.0,50.0,39.0,41.0,34.0,45.0,48.0,4.0,79.0,117.0,140
Tax %,33.0,37.0,35.0,34.0,37.0,36.0,38.0,36.0,9.0,46.0,26.0,26.0,
Net Profit,27.0,29.0,35.0,32.0,24.0,26.0,21.0,28.0,44.0,2.0,59.0,86.0,104
EPS in Rs,2.95,3.14,3.87,3.54,2.66,2.86,2.3,3.1,4.76,0.25,6.39,9.4,11.35
