,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.0,66.0,91.0,116.0,184.0,227.0,256
Expenses,41.0,54.0,73.0,91.0,141.0,174.0,197
Operating Profit,9.0,12.0,18.0,25.0,43.0,53.0,59
OPM %,19.0,18.0,20.0,21.0,23.0,23.0,23
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,1
Interest,1.0,1.0,3.0,2.0,2.0,2.0,3
Depreciation,2.0,3.0,4.0,7.0,7.0,10.0,11
Profit before tax,7.0,8.0,12.0,16.0,34.0,41.0,46
Tax %,1.0,-2.0,21.0,27.0,28.0,25.0,
Net Profit,7.0,8.0,9.0,12.0,25.0,31.0,35
EPS in Rs,7.82,9.3,9.8,12.19,25.83,31.95,36.15
