,Mar 2012,Mar 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,386.0,459.0,661.0,250.0,420.0,432.0,370.0,391.0,367.0,392.0,511.0,500.0,550
Expenses,388.0,491.0,637.0,228.0,387.0,414.0,438.0,375.0,344.0,374.0,475.0,476.0,498
Operating Profit,-2.0,-32.0,25.0,21.0,33.0,19.0,-68.0,16.0,23.0,18.0,36.0,23.0,51
OPM %,-1.0,-7.0,4.0,9.0,8.0,4.0,-18.0,4.0,6.0,5.0,7.0,5.0,9
Other Income,21.0,5.0,-78.0,6.0,0.0,90.0,76.0,9.0,84.0,2.0,77.0,0.0,-1
Interest,40.0,37.0,48.0,19.0,32.0,36.0,31.0,40.0,33.0,23.0,21.0,21.0,28
Depreciation,17.0,23.0,23.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,13
Profit before tax,-39.0,-87.0,-125.0,4.0,-7.0,62.0,-32.0,-25.0,65.0,-12.0,81.0,-10.0,10
Tax %,0.0,-0.0,-2.0,28.0,0.0,1.0,1.0,1.0,0.0,-2.0,-0.0,-1.0,
Net Profit,-39.0,-87.0,-128.0,3.0,-7.0,62.0,-32.0,-25.0,64.0,-13.0,81.0,-10.0,10
EPS in Rs,-22.38,-50.19,-63.95,1.6,-3.58,26.71,-13.49,-10.48,25.79,-5.04,24.94,-3.18,2.99
