,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.07,23.14,27.47,26.49,27.82,27.8,51.8,51.67,51.84,63.82,62.46,55.25,63.56
Expenses,18.84,21.29,26.02,25.29,25.78,25.64,49.89,48.79,48.87,60.61,57.27,50.48,58.50
Operating Profit,1.23,1.85,1.45,1.2,2.04,2.16,1.91,2.88,2.97,3.21,5.19,4.77,5.06
OPM %,6.13,7.99,5.28,4.53,7.33,7.77,3.69,5.57,5.73,5.03,8.31,8.63,7.96
Other Income,-0.22,-0.79,0.18,0.12,0.02,-0.06,0.0,0.0,0.01,0.0,-0.75,0.0,0.00
Interest,0.04,0.0,0.03,0.03,0.16,0.8,0.96,1.39,1.38,1.34,1.37,1.71,1.85
Depreciation,0.14,0.16,0.22,0.24,0.31,0.45,0.56,0.77,0.99,1.02,1.13,1.21,1.38
Profit before tax,0.83,0.9,1.38,1.05,1.59,0.85,0.39,0.72,0.61,0.85,1.94,1.85,1.83
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.33,87.57,
Net Profit,0.84,0.91,1.37,1.05,1.58,0.86,0.39,0.72,0.61,0.85,1.09,0.23,1.23
EPS in Rs,1.61,1.75,2.63,2.02,3.03,1.65,0.75,1.38,1.17,1.63,2.09,0.44,2.36
