,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.59,5.01,4.51,5.87,5.87,6.00,7.84,5.91,5.08,5.9,8.03,5.74,5.51
Expenses,5.98,4.83,4.85,5.42,5.09,5.33,6.44,5.69,5.87,5.25,6.98,5.17,4.92
Operating Profit,-0.39,0.18,-0.34,0.45,0.78,0.67,1.4,0.22,-0.79,0.65,1.05,0.57,0.59
OPM %,-6.98,3.59,-7.54,7.67,13.29,11.17,17.86,3.72,-15.55,11.02,13.08,9.93,10.71
Other Income,1.11,0.01,0.06,0.02,-0.01,0.00,0.0,0.03,0.02,-0.01,0.0,-0.12,0.00
Interest,0.34,0.29,0.33,0.36,0.5,0.43,0.34,0.2,0.16,0.12,0.12,0.1,0.10
Depreciation,0.4,0.39,0.34,0.3,0.24,0.24,0.23,0.21,0.16,0.13,0.11,0.12,0.12
Profit before tax,-0.02,-0.49,-0.95,-0.19,0.03,0.00,0.83,-0.16,-1.09,0.39,0.82,0.23,0.37
Tax %,100.0,10.2,5.26,15.79,0.0,,1.2,6.25,0.0,0.0,9.76,-247.83,
Net Profit,0.01,-0.43,-0.91,-0.16,0.03,-0.02,0.81,-0.15,-1.09,0.39,0.74,0.79,0.92
EPS in Rs,0.04,-0.81,-1.65,-0.27,0.06,-0.04,1.59,-0.29,-2.14,0.77,1.45,1.55,1.77
