,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,943.0,1055.0,1048.0,932.0,840.0,998.0,1026.0,1061.0,888.0,939.0,1129.0,928.0,707
Expenses,757.0,854.0,851.0,775.0,689.0,799.0,811.0,907.0,695.0,696.0,938.0,942.0,861
Operating Profit,186.0,201.0,197.0,157.0,151.0,198.0,216.0,154.0,193.0,244.0,192.0,-14.0,-155
OPM %,20.0,19.0,19.0,17.0,18.0,20.0,21.0,15.0,22.0,26.0,17.0,-1.0,-22
Other Income,10.0,12.0,8.0,7.0,-59.0,2.0,22.0,27.0,12.0,6.0,11.0,19.0,100
Interest,25.0,15.0,14.0,27.0,22.0,64.0,72.0,57.0,78.0,73.0,82.0,238.0,299
Depreciation,98.0,145.0,148.0,106.0,54.0,73.0,72.0,71.0,62.0,64.0,64.0,93.0,97
Profit before tax,73.0,53.0,44.0,31.0,16.0,63.0,93.0,53.0,65.0,113.0,57.0,-326.0,-451
Tax %,-12.0,13.0,-14.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,28.0,0.0,
Net Profit,82.0,46.0,50.0,31.0,16.0,63.0,93.0,53.0,65.0,78.0,41.0,-326.0,-477
EPS in Rs,3.72,2.09,2.25,1.39,0.73,2.87,3.72,2.1,2.6,3.12,1.62,-12.61,-18.45
