,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2022-03-01,2023-03-01
Equity Capital,4,6,8,10,10,10,12,24
Reserves,3,0,-1,-7,-13,-17,1678,1470
Preference Capital,0,0,0,0,0,0,9,9
Borrowings,14,21,23,25,31,32,2170,4649
Other Liabilities,8,8,8,8,6,9,5271,4893
Total Liabilities,30,36,38,36,34,35,9132,11036
Fixed Assets,7,19,17,16,14,13,431,434
CWIP,5,0,5,6,6,6,23,286
Investments,0,0,0,0,0,0,621,902
Other Assets,18,17,16,14,14,16,8057,9414
Total Assets,30,36,38,36,34,35,9132,11036
