,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.0,32.0,48.0,42.0,45.0,59.0,71.0,55.0,97.0,97.0,91
Expenses,8.0,25.0,30.0,25.0,32.0,41.0,52.0,39.0,61.0,66.0,69
Operating Profit,27.0,7.0,18.0,17.0,13.0,18.0,19.0,16.0,36.0,31.0,21
OPM %,78.0,22.0,37.0,40.0,29.0,30.0,26.0,29.0,37.0,32.0,24
Other Income,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,2.0,7
Interest,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,6
Depreciation,0.0,1.0,3.0,3.0,7.0,6.0,5.0,5.0,11.0,13.0,9
Profit before tax,26.0,6.0,14.0,14.0,7.0,15.0,13.0,10.0,24.0,16.0,13
Tax %,18.0,28.0,22.0,22.0,24.0,23.0,18.0,17.0,25.0,20.0,
Net Profit,22.0,5.0,11.0,11.0,5.0,11.0,11.0,8.0,18.0,13.0,11
EPS in Rs,16.8,3.65,7.73,7.76,3.66,7.87,5.76,5.48,12.37,8.56,8.07
