,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,121.0,245.0,176.0,150.0,185.0,45.0,4.0,1
Expenses,102.0,207.0,138.0,113.0,158.0,86.0,33.0,17
Operating Profit,18.0,38.0,38.0,37.0,27.0,-41.0,-29.0,-16
OPM %,15.0,16.0,22.0,25.0,14.0,-90.0,-784.0,-2482
Other Income,3.0,2.0,4.0,6.0,3.0,2.0,5.0,2
Interest,5.0,10.0,9.0,10.0,12.0,15.0,5.0,3
Depreciation,15.0,27.0,15.0,4.0,4.0,4.0,4.0,4
Profit before tax,1.0,3.0,19.0,29.0,13.0,-57.0,-34.0,-20
Tax %,41.0,-69.0,-3.0,-1.0,10.0,4.0,13.0,
Net Profit,1.0,5.0,19.0,29.0,12.0,-55.0,-29.0,-16
EPS in Rs,31.8,0.81,2.92,4.46,1.84,-8.4,-4.46,-2.44
