,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9006.0,6106.0,5093.0,6174.0,7754.0,10300.0,9866.0,16456.0,16759.0,15240
Expenses,7894.0,5367.0,4331.0,5261.0,6758.0,8652.0,7761.0,14354.0,14338.0,13213
Operating Profit,1112.0,739.0,762.0,913.0,997.0,1649.0,2105.0,2103.0,2422.0,2027
OPM %,12.0,12.0,15.0,15.0,13.0,16.0,21.0,13.0,14.0,13
Other Income,101.0,12.0,18.0,29.0,95.0,82.0,70.0,79.0,101.0,118
Interest,334.0,250.0,218.0,206.0,208.0,205.0,134.0,82.0,67.0,29
Depreciation,238.0,245.0,257.0,272.0,288.0,318.0,344.0,385.0,428.0,452
Profit before tax,641.0,256.0,305.0,464.0,596.0,1208.0,1698.0,1715.0,2028.0,1665
Tax %,31.0,26.0,28.0,37.0,30.0,1.0,25.0,25.0,25.0,
Net Profit,447.0,190.0,221.0,292.0,418.0,1199.0,1270.0,1287.0,1528.0,1254
EPS in Rs,0.99,2.76,3.2,4.25,6.08,17.41,18.45,18.7,22.2,18.22
