,Jun 2009,Jun 2010,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,168.0,81.0,-0,-0,-0,1.0,13.0,4.0,0.0,32.0,80.0,139.0,237
Expenses,179.0,91.0,0,0,0,2.0,15.0,6.0,1.0,33.0,72.0,121.0,204
Operating Profit,-11.0,-11.0,-0,-0,-0,-1.0,-2.0,-1.0,-1.0,-0.0,8.0,18.0,34
OPM %,-7.0,-13.0,,,,-141.0,-15.0,-28.0,-12300.0,-1.0,10.0,13.0,14
Other Income,0.0,5.0,0,0,-0,-1.0,-0.0,0.0,0.0,0.0,1.0,1.0,1
Interest,1.0,0.0,-0,-0,-0,0.0,2.0,2.0,2.0,2.0,2.0,5.0,10
Depreciation,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5
Profit before tax,-13.0,-7.0,-0,0,-1,-3.0,-5.0,-3.0,-4.0,-4.0,5.0,10.0,20
Tax %,-0.0,-0.0,-0,-0,-0,-0.0,-0.0,-0.0,-0.0,-0.0,12.0,-37.0,
Net Profit,-13.0,-7.0,-0,0,-1,-3.0,-5.0,-3.0,-4.0,-4.0,5.0,13.0,21
EPS in Rs,-15.9,-8.55,-0.47,0.06,-0.79,-3.51,-6.07,-3.22,-4.55,-4.45,5.95,7.34,11.83
