,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,3,3,3,10,10,11,12,13,13
Reserves,25,35,40,50,74,103,133,161,193,232,250
Borrowings,51,77,64,77,92,128,112,138,173,176,266
Other Liabilities,23,22,30,56,66,49,25,16,20,23,24
Total Liabilities,100,135,137,186,234,291,281,326,398,443,553
Fixed Assets,32,34,35,32,45,44,50,62,69,181,180
CWIP,0,0,0,1,0,2,2,32,92,17,36
Investments,0,0,1,1,1,1,1,2,1,1,1
Other Assets,67,102,101,153,188,243,227,229,236,244,336
Total Assets,100,135,137,186,234,291,281,326,398,443,553
