,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,230.0,278.0,335.0,489.0,613.0,601.0,604.0,473.0,491.0,353.0,341
Expenses,207.0,251.0,314.0,460.0,566.0,542.0,564.0,448.0,475.0,333.0,321
Operating Profit,23.0,27.0,20.0,29.0,48.0,59.0,40.0,26.0,16.0,20.0,20
OPM %,10.0,10.0,6.0,6.0,8.0,10.0,7.0,5.0,3.0,6.0,6
Other Income,0.0,1.0,1.0,1.0,4.0,16.0,15.0,8.0,13.0,12.0,5
Interest,5.0,10.0,8.0,9.0,10.0,10.0,7.0,4.0,6.0,11.0,13
Depreciation,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,9.0,12
Profit before tax,17.0,15.0,11.0,18.0,38.0,62.0,45.0,26.0,19.0,11.0,1
Tax %,34.0,36.0,40.0,46.0,37.0,38.0,24.0,30.0,30.0,38.0,
Net Profit,11.0,10.0,7.0,10.0,24.0,38.0,34.0,18.0,14.0,7.0,-1
EPS in Rs,9.08,8.18,5.7,8.08,19.91,31.8,28.64,14.73,10.04,4.96,-0.79
