,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1077.0,733.0,282.0,198.0,186.0,177.0,64.0,19.0,10.0,1.0,1.0,4.0
Expenses,711.0,675.0,386.0,253.0,276.0,261.0,902.0,107.0,148.0,47.0,43.0,80.0
Operating Profit,366.0,58.0,-104.0,-55.0,-90.0,-84.0,-838.0,-88.0,-138.0,-46.0,-41.0,-76.0
OPM %,34.0,8.0,-37.0,-28.0,-48.0,-47.0,-1300.0,-455.0,-1427.0,-4758.0,-2991.0,-1908.0
Other Income,17.0,86.0,-36.0,-833.0,56.0,-111.0,-1472.0,-2.0,-7.0,1.0,3.0,1.0
Interest,91.0,140.0,139.0,230.0,257.0,254.0,46.0,3.0,4.0,4.0,4.0,5.0
Depreciation,47.0,53.0,54.0,48.0,33.0,27.0,15.0,11.0,3.0,1.0,0.0,0.0
Profit before tax,244.0,-49.0,-332.0,-1165.0,-323.0,-476.0,-2371.0,-105.0,-151.0,-51.0,-44.0,-80.0
Tax %,23.0,17.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,189.0,-41.0,-312.0,-1165.0,-304.0,-476.0,-2371.0,-105.0,-151.0,-51.0,-44.0,-80.0
EPS in Rs,19.67,-3.33,-25.5,-95.16,-24.85,-38.83,-193.6,-8.58,-12.36,-4.13,-3.56,-6.55
