,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,57.0,79.0,108.0,133.0,144.0,141.0,176.0,197.0,185.0,203.0,220.0,237
Expenses,44.0,62.0,88.0,110.0,122.0,119.0,152.0,147.0,168.0,179.0,186.0,192
Operating Profit,13.0,17.0,19.0,23.0,22.0,21.0,24.0,50.0,18.0,24.0,33.0,45
OPM %,23.0,22.0,18.0,17.0,16.0,15.0,14.0,25.0,10.0,12.0,15.0,19
Other Income,0.0,0.0,1.0,1.0,3.0,5.0,3.0,2.0,2.0,4.0,10.0,11
Interest,4.0,6.0,8.0,12.0,16.0,17.0,18.0,17.0,13.0,11.0,10.0,7
Depreciation,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5
Profit before tax,8.0,9.0,10.0,9.0,6.0,5.0,5.0,31.0,2.0,13.0,29.0,44
Tax %,33.0,33.0,32.0,51.0,10.0,11.0,31.0,28.0,18.0,29.0,-7.0,
Net Profit,5.0,6.0,7.0,5.0,6.0,5.0,3.0,22.0,2.0,10.0,31.0,37
EPS in Rs,13.95,8.23,6.84,4.52,5.51,4.09,3.09,19.92,1.79,5.96,20.02,23.96
