,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,439.0,566.0,608.0,741.0,1130.0,1441.0,1381
Expenses,356.0,497.0,460.0,478.0,663.0,807.0,796
Operating Profit,83.0,69.0,148.0,262.0,467.0,634.0,585
OPM %,19.0,12.0,24.0,35.0,41.0,44.0,42
Other Income,6.0,121.0,8.0,14.0,13.0,44.0,39
Interest,102.0,114.0,122.0,130.0,162.0,97.0,28
Depreciation,73.0,47.0,52.0,55.0,67.0,69.0,69
Profit before tax,-85.0,29.0,-17.0,90.0,251.0,513.0,527
Tax %,7.0,-41.0,-105.0,26.0,25.0,25.0,
Net Profit,-79.0,41.0,-36.0,67.0,189.0,384.0,396
EPS in Rs,-79.16,21.31,-18.5,34.56,19.58,31.18,32.15
