,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,809,555,555.0,493.0,621.0,417.0,518.0,719.0,304.0,765.0,253.0,253
Expenses,801,535,540.0,497.0,616.0,447.0,719.0,693.0,289.0,771.0,239.0,232
Operating Profit,8,20,15.0,-4.0,4.0,-30.0,-200.0,26.0,15.0,-6.0,14.0,21
OPM %,1,4,3.0,-1.0,1.0,-7.0,-39.0,4.0,5.0,-1.0,5.0,8
Other Income,26,12,14.0,12.0,20.0,-55.0,39.0,33.0,19.0,65.0,33.0,31
Interest,30,24,18.0,14.0,23.0,27.0,33.0,43.0,31.0,18.0,13.0,13
Depreciation,1,2,3.0,1.0,1.0,4.0,7.0,7.0,9.0,9.0,11.0,12
Profit before tax,3,6,8.0,-8.0,1.0,-117.0,-202.0,9.0,-6.0,32.0,22.0,27
Tax %,4,4,3.0,-16.0,245.0,-20.0,-6.0,39.0,216.0,-16.0,23.0,
Net Profit,3,6,8.0,-9.0,-2.0,-140.0,-213.0,6.0,7.0,37.0,17.0,21
EPS in Rs,,,0.64,-0.73,-0.15,-11.44,-17.83,0.48,0.45,2.43,1.13,1.46
