,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,0,0,0,0,1,1,1.0
Reserves,0,1,1,2,12,14,16,18,18,19,20,20.0
Preference Capital,0,1,1,1,1,1,1,1,1,1,1,
Borrowings,0,6,10,8,5,3,1,3,3,5,14,14.0
Other Liabilities,0,3,2,3,3,6,5,5,10,27,13,15.0
Total Liabilities,1,10,13,13,20,23,22,27,32,52,47,51.0
Fixed Assets,0,8,9,12,11,20,19,17,16,25,23,22.0
CWIP,0,0,0,0,0,0,0,0,4,1,1,1.0
Investments,0,0,0,0,1,0,0,0,0,0,0,0.0
Other Assets,1,2,4,1,9,3,3,9,11,26,23,28.0
Total Assets,1,10,13,13,20,23,22,27,32,52,47,51.0
