,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,3.0,4.0,5.0,6.0,8.0,9.0,39.0,320.0,448.0,1237.0,1594
Expenses,1.0,1.0,2.0,3.0,3.0,3.0,4.0,36.0,318.0,443.0,1232.0,1590
Operating Profit,1.0,1.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,5.0,4
OPM %,32.0,43.0,53.0,43.0,49.0,57.0,56.0,9.0,1.0,1.0,0.0,0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Interest,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2
Profit before tax,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2
Tax %,31.0,33.0,32.0,32.0,33.0,46.0,42.0,-28.0,26.0,41.0,47.0,
Net Profit,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,1
EPS in Rs,37.0,64.0,50.0,53.0,24.0,25.5,33.67,48.33,7.67,20.99,20.99,23.47
