,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,501.0,441.0,582.0,737.0,796.0,987.0,981.0,286.0,508.0,1128.0,1253
Expenses,403.0,377.0,446.0,624.0,551.0,668.0,644.0,279.0,409.0,676.0,751
Operating Profit,98.0,64.0,136.0,113.0,245.0,319.0,337.0,7.0,98.0,453.0,502
OPM %,20.0,14.0,23.0,15.0,31.0,32.0,34.0,2.0,19.0,40.0,40
Other Income,-42.0,18.0,13.0,311.0,-66.0,44.0,24.0,14.0,11.0,92.0,89
Interest,137.0,161.0,216.0,218.0,212.0,266.0,146.0,152.0,144.0,154.0,173
Depreciation,60.0,62.0,99.0,127.0,112.0,115.0,113.0,117.0,118.0,117.0,124
Profit before tax,-141.0,-141.0,-166.0,79.0,-145.0,-18.0,101.0,-248.0,-153.0,273.0,294
Tax %,23.0,10.0,32.0,-61.0,36.0,58.0,1.0,44.0,47.0,33.0,
Net Profit,-109.0,-126.0,-112.0,127.0,-93.0,-8.0,100.0,-139.0,-81.0,183.0,264
EPS in Rs,-7.15,-8.31,-7.39,8.38,-5.43,-0.37,5.01,-6.78,-3.98,8.94,12.87
