,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,957.0,1007.0,1246.0,1315.0,1572.0,1636.0,2072.0,2657.0,2711.0,2680
Expenses,875.0,908.0,1083.0,1151.0,1388.0,1406.0,1708.0,2241.0,2461.0,2323
Operating Profit,82.0,100.0,163.0,164.0,184.0,230.0,364.0,416.0,250.0,357
OPM %,9.0,10.0,13.0,12.0,12.0,14.0,18.0,16.0,9.0,13
Other Income,2.0,0.0,2.0,5.0,7.0,6.0,15.0,5.0,9.0,30
Interest,37.0,34.0,36.0,36.0,36.0,33.0,21.0,14.0,11.0,7
Depreciation,29.0,30.0,33.0,38.0,44.0,52.0,59.0,70.0,83.0,87
Profit before tax,18.0,37.0,96.0,95.0,111.0,151.0,299.0,337.0,165.0,294
Tax %,12.0,20.0,23.0,24.0,26.0,25.0,26.0,26.0,26.0,
Net Profit,16.0,30.0,74.0,73.0,82.0,113.0,222.0,249.0,121.0,220
EPS in Rs,3.27,6.15,16.48,8.08,9.12,10.23,20.16,22.56,10.98,19.87
