,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,4479,5000.0,5773.0,4750.0,6083.0,12447.0,14965.0,15625
Expenses,0.0,4073,4626.0,5240.0,4169.0,5443.0,10997.0,13081.0,13636
Operating Profit,0.0,406,374.0,533.0,582.0,641.0,1450.0,1883.0,1989
OPM %,,9,7.0,9.0,12.0,11.0,12.0,13.0,13
Other Income,0.0,41,55.0,62.0,40.0,26.0,147.0,318.0,383
Interest,0.0,77,62.0,56.0,34.0,52.0,99.0,58.0,46
Depreciation,0.0,149,154.0,162.0,185.0,251.0,347.0,396.0,446
Profit before tax,0.0,221,214.0,378.0,403.0,365.0,1152.0,1748.0,1880
Tax %,,21,27.0,34.0,22.0,22.0,14.0,24.0,
Net Profit,0.0,174,156.0,251.0,313.0,286.0,991.0,1325.0,1426
EPS in Rs,,,7.86,12.81,16.31,14.28,39.85,49.48,53.08
