,2006-03-01,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.3,4.3,4.3,4.3,4.3,4.3,11.61,14.7,14.7,14.7,14.7,14.7
Reserves,5.12,7.7,10.0,8.39,9.09,9.99,13.47,12.79,14.45,15.19,16.25,16.61
Borrowings,5.45,7.33,12.17,12.43,14.14,14.79,12.75,16.18,16.24,11.53,14.99,16.73
Other Liabilities,3.97,5.53,6.13,7.45,8.3,11.07,9.79,8.15,9.77,9.55,7.59,7.76
Total Liabilities,18.84,24.86,32.6,32.57,35.83,40.15,47.62,51.82,55.16,50.97,53.53,55.8
Fixed Assets,8.95,8.67,13.09,13.79,13.86,13.93,15.03,16.36,15.76,15.93,15.85,15.43
CWIP,0.32,2.86,1.28,0.0,0.0,0.0,2.36,0.26,0.7000000000000001,0.0,0.0,0.0
Investments,0.1,0.14,0.34,0.39,0.61,0.21,0.21,0.1,0.11,0.12,0.16,0.16
Other Assets,9.47,13.19,17.89,18.39,21.36,26.01,30.02,35.1,38.59,34.92,37.52,40.21
Total Assets,18.84,24.86,32.6,32.57,35.83,40.15,47.62,51.82,55.16,50.97,53.53,55.8
