,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.1,28.97,27.57,32.68,19.89,26.39,30.4,45.92,34.31,38.96,68.31,62.62,65.51
Expenses,24.78,26.74,26.32,30.32,19.33,23.7,27.95,42.66,32.74,34.51,60.41,57.29,59.38
Operating Profit,2.32,2.23,1.25,2.36,0.56,2.69,2.45,3.26,1.57,4.45,7.9,5.33,6.13
OPM %,8.56,7.7,4.53,7.22,2.82,10.19,8.06,7.1,4.58,11.42,11.56,8.51,9.36
Other Income,0.26,0.04,0.15,0.07,0.04,0.14,0.39,0.3,0.06,0.13,0.27,0.19,0.17
Interest,1.07,1.14,1.18,1.37,1.19,1.24,1.25,1.15,1.35,1.33,0.98,0.98,0.91
Depreciation,0.77,0.85,0.78,0.72,0.74,0.76,0.93,0.81,0.91,0.99,0.94,1.11,1.12
Profit before tax,0.74,0.28,-0.56,0.34,-1.33,0.83,0.66,1.6,-0.63,2.26,6.25,3.43,4.27
Tax %,2.7,35.71,0.0,14.71,0.75,-3.61,25.76,26.25,-55.56,12.39,28.48,26.24,
Net Profit,0.72,0.18,-0.56,0.29,-1.32,0.87,0.49,1.17,-0.99,1.98,4.47,2.54,3.11
EPS in Rs,2.4,0.6,-1.87,0.97,-4.4,2.9,1.46,3.09,-2.61,5.22,10.4,5.08,6.44
