,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,453.0,482.0,578.0,850.0,987.0,1003.0,1128.0,1378.0,1548.0,1964.0,2225
Expenses,284.0,299.0,372.0,591.0,712.0,701.0,794.0,1050.0,1181.0,1584.0,1863
Operating Profit,169.0,184.0,206.0,259.0,274.0,302.0,334.0,327.0,368.0,380.0,362
OPM %,37.0,38.0,36.0,30.0,28.0,30.0,30.0,24.0,24.0,19.0,16
Other Income,84.0,73.0,70.0,52.0,44.0,35.0,-12.0,33.0,79.0,36.0,84
Interest,0.0,0.0,1.0,1.0,4.0,8.0,7.0,4.0,6.0,7.0,6
Depreciation,85.0,90.0,81.0,116.0,119.0,112.0,131.0,159.0,160.0,154.0,153
Profit before tax,169.0,166.0,195.0,194.0,196.0,218.0,185.0,197.0,281.0,255.0,288
Tax %,18.0,27.0,47.0,33.0,20.0,38.0,24.0,28.0,26.0,26.0,
Net Profit,276.0,242.0,103.0,130.0,158.0,135.0,141.0,142.0,209.0,189.0,215
EPS in Rs,4.3,3.77,3.2,4.06,4.92,4.22,4.4,4.44,6.51,5.89,6.69
