,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,321.0,321.0,321,321,321,321,321,321,321,321,321
Reserves,,,764,838,932,968,1048,1092,1206,1328,1402
Borrowings,,,0,0,0,5,43,0,32,42,48
Other Liabilities,,,1135,1162,1066,933,986,1297,1300,1648,1779
Total Liabilities,,,2220,2321,2319,2228,2398,2710,2858,3339,3550
Fixed Assets,,,711,694,688,790,789,760,775,821,828
CWIP,,,262,359,364,300,253,215,163,157,217
Investments,,,0,0,0,7,0,0,30,40,5
Other Assets,,,1247,1268,1267,1131,1356,1735,1890,2321,2500
Total Assets,,,2220,2321,2319,2228,2398,2710,2858,3339,3550
