,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.0,29.0,65.0,71.0,83.0,89.0,116.0,134.0,141.0,196.0,264.0,290
Expenses,20.0,27.0,60.0,61.0,62.0,63.0,84.0,103.0,128.0,158.0,202.0,224
Operating Profit,2.0,2.0,6.0,10.0,20.0,26.0,32.0,31.0,12.0,38.0,62.0,66
OPM %,8.0,7.0,9.0,14.0,25.0,29.0,27.0,23.0,9.0,20.0,23.0,23
Other Income,0.0,0.0,4.0,2.0,2.0,4.0,6.0,6.0,14.0,4.0,5.0,5
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,5
Profit before tax,2.0,2.0,9.0,11.0,22.0,30.0,37.0,34.0,23.0,38.0,62.0,66
Tax %,36.0,32.0,35.0,35.0,36.0,34.0,30.0,26.0,27.0,27.0,26.0,
Net Profit,1.0,1.0,6.0,7.0,14.0,19.0,26.0,25.0,17.0,28.0,46.0,48
EPS in Rs,37.33,45.0,206.0,242.67,456.67,4.82,4.73,4.59,3.03,5.06,8.41,8.83
