,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,975.0,1091.0,1237.0,1045.0,1140.0,981.0,1014.0,719.0,757.0,731.0,840.0,766.0,768
Expenses,1067.0,954.0,1117.0,1019.0,1073.0,914.0,970.0,677.0,697.0,646.0,778.0,705.0,690
Operating Profit,-92.0,137.0,121.0,26.0,67.0,67.0,44.0,42.0,60.0,84.0,62.0,61.0,77
OPM %,-9.0,13.0,10.0,3.0,6.0,7.0,4.0,6.0,8.0,12.0,7.0,8.0,10
Other Income,507.0,28.0,130.0,1196.0,53.0,9.0,28.0,17.0,50.0,268.0,9.0,-1.0,4
Interest,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1
Depreciation,18.0,22.0,23.0,33.0,50.0,39.0,38.0,29.0,39.0,36.0,20.0,20.0,21
Profit before tax,395.0,142.0,226.0,1187.0,69.0,36.0,33.0,29.0,66.0,314.0,49.0,40.0,59
Tax %,23.0,29.0,26.0,21.0,14.0,33.0,35.0,36.0,24.0,30.0,12.0,52.0,
Net Profit,304.0,101.0,167.0,943.0,59.0,24.0,22.0,19.0,51.0,220.0,43.0,19.0,45
EPS in Rs,114.04,38.0,62.55,353.83,25.72,10.61,9.36,8.04,21.97,95.21,18.77,8.31,19.42
