,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4631.0,5157.0,5082.0,5057.0,4879.0,5158.0,5267.0,5770.0,5186.0,4511.0,4858.0,5608.0,5468
Expenses,3686.0,4219.0,4458.0,4294.0,4006.0,4267.0,4548.0,5131.0,4588.0,3715.0,4373.0,5749.0,5562
Operating Profit,945.0,937.0,624.0,763.0,873.0,891.0,720.0,639.0,599.0,796.0,486.0,-141.0,-94
OPM %,20.0,18.0,12.0,15.0,18.0,17.0,14.0,11.0,12.0,18.0,10.0,-3.0,-2
Other Income,22.0,23.0,-135.0,22.0,21.0,17.0,14.0,26.0,24.0,32.0,23.0,224.0,221
Interest,333.0,369.0,411.0,478.0,440.0,380.0,365.0,350.0,343.0,271.0,198.0,242.0,230
Depreciation,286.0,324.0,320.0,303.0,291.0,276.0,279.0,265.0,256.0,247.0,226.0,219.0,220
Profit before tax,349.0,267.0,-241.0,4.0,164.0,252.0,90.0,50.0,24.0,311.0,85.0,-378.0,-323
Tax %,25.0,33.0,-0.0,127.0,29.0,37.0,21.0,49.0,-126.0,33.0,23.0,55.0,
Net Profit,272.0,192.0,-239.0,-1.0,119.0,159.0,69.0,26.0,51.0,209.0,87.0,-125.0,-263
EPS in Rs,8.84,6.12,-7.92,-0.11,3.8,5.41,2.11,0.68,1.62,6.67,2.53,-4.09,-8.42
