,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.55,3.75,4.7,5.92,8.05,8.43,8.71,8.0,9.14,8.85,9.78,10.32,9.02
Expenses,2.84,4.06,4.72,5.61,7.33,7.57,8.23,9.16,12.11,9.58,10.61,9.88,9.08
Operating Profit,-0.29,-0.31,-0.02,0.31,0.72,0.86,0.48,-1.16,-2.97,-0.73,-0.83,0.44,-0.06
OPM %,-11.37,-8.27,-0.43,5.24,8.94,10.2,5.51,-14.5,-32.49,-8.25,-8.49,4.26,-0.67
Other Income,1.06,0.82,1.15,0.97,0.84,0.83,1.03,1.26,1.02,0.57,0.81,0.37,1.47
Interest,0.02,0.03,0.02,0.03,0.02,0.07,0.06,0.01,0.1,0.11,0.15,0.11,0.03
Depreciation,0.26,0.28,0.29,0.75,0.34,0.38,0.32,0.24,0.67,0.64,0.64,0.58,0.43
Profit before tax,0.49,0.2,0.82,0.5,1.2,1.24,1.13,-0.15,-2.72,-0.91,-0.81,0.12,0.95
Tax %,2.04,0.0,3.66,6.0,1.67,16.13,7.96,-6.67,0.0,-5.49,0.0,8.33,
Net Profit,0.49,0.21,0.79,0.47,1.18,1.04,1.03,-0.16,-2.72,-0.95,-0.81,0.12,0.95
EPS in Rs,1.05,0.45,1.69,1.0,2.52,2.22,2.2,0.09,-3.65,-1.3,-1.15,0.32,1.83
