,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,78.96,53.98,61.75,46.2,22.09,27.92,17.8,32.74,114.46,23.96,19.29,17.06,16.60
Expenses,78.16,53.73,61.35,45.76,21.97,27.61,17.68,34.48,113.84,24.21,19.91,17.27,16.80
Operating Profit,0.8,0.25,0.4,0.44,0.12,0.31,0.12,-1.74,0.62,-0.25,-0.62,-0.21,-0.20
OPM %,1.01,0.46,0.65,0.95,0.54,1.11,0.67,-5.31,0.54,-1.04,-3.21,-1.23,-1.20
Other Income,0.15,0.42,0.2,0.29,0.17,0.1,0.05,0.01,0.06,0.05,1.03,0.12,0.10
Interest,0.21,0.17,0.26,0.46,0.13,0.21,0.1,0.0,0.0,0.01,0.01,0.02,0.02
Depreciation,0.05,0.04,0.03,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.69,0.46,0.31,0.23,0.14,0.19,0.06,-1.73,0.68,-0.21,0.4,-0.11,-0.12
Tax %,30.43,30.43,32.26,34.78,28.57,31.58,50.0,4.05,29.41,-4.76,15.0,9.09,
Net Profit,0.48,0.32,0.21,0.16,0.09,0.13,0.03,-1.66,0.48,-0.23,0.34,-0.1,-0.09
EPS in Rs,1.32,0.88,0.58,0.44,0.25,0.36,0.08,-4.55,1.32,-0.63,0.93,-0.27,-0.25
