,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,450.0,536.0,563.0,740.0,789.0,867.0,370.0,1166.0,1360.0,1396.0,1451
Expenses,379.0,458.0,461.0,610.0,637.0,673.0,249.0,859.0,998.0,1041.0,1091
Operating Profit,70.0,78.0,102.0,130.0,152.0,195.0,121.0,306.0,363.0,355.0,361
OPM %,16.0,15.0,18.0,18.0,19.0,22.0,33.0,26.0,27.0,25.0,25
Other Income,1.0,5.0,10.0,23.0,21.0,16.0,58.0,13.0,34.0,28.0,33
Interest,12.0,12.0,12.0,27.0,20.0,15.0,74.0,78.0,63.0,44.0,42
Depreciation,37.0,40.0,40.0,50.0,56.0,57.0,42.0,128.0,125.0,100.0,94
Profit before tax,23.0,30.0,60.0,75.0,97.0,138.0,62.0,113.0,209.0,240.0,258
Tax %,0.0,8.0,13.0,47.0,15.0,20.0,2.0,17.0,-8.0,2.0,
Net Profit,23.0,28.0,52.0,40.0,83.0,111.0,61.0,94.0,225.0,236.0,253
EPS in Rs,1.13,1.39,2.59,1.98,4.12,5.49,3.03,4.66,4.5,4.72,5.06
