,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1922.0,2871.0,3876.0,5250.0,5931.0,6721.0,7963.0,8652.0,8608.0,10253.0,11933.0,12986
Expenses,1660.0,2421.0,3370.0,4805.0,5582.0,6089.0,6886.0,7187.0,7506.0,8720.0,10307.0,11282
Operating Profit,261.0,451.0,506.0,445.0,349.0,632.0,1077.0,1465.0,1103.0,1533.0,1626.0,1705
OPM %,14.0,16.0,13.0,8.0,6.0,9.0,14.0,17.0,13.0,15.0,14.0,13
Other Income,11.0,19.0,23.0,25.0,453.0,177.0,-155.0,-158.0,53.0,51.0,79.0,-13
Interest,45.0,48.0,79.0,189.0,371.0,204.0,205.0,391.0,334.0,307.0,390.0,384
Depreciation,76.0,111.0,144.0,243.0,322.0,298.0,306.0,586.0,618.0,641.0,780.0,861
Profit before tax,151.0,310.0,306.0,38.0,108.0,308.0,410.0,330.0,205.0,637.0,535.0,447
Tax %,4.0,9.0,11.0,78.0,10.0,8.0,10.0,5.0,13.0,6.0,11.0,
Net Profit,149.0,284.0,272.0,8.0,98.0,282.0,367.0,315.0,178.0,601.0,475.0,346
EPS in Rs,7.26,4.69,7.0,0.2,2.52,5.32,6.59,5.54,2.96,10.53,8.51,5.69
