,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,481.0,1028.0,1430.0,1715.0,1528.0,1615.0,1831.0,1843.0,1720.0,2222.0,2705.0,2795
Expenses,362.0,795.0,994.0,1316.0,1119.0,1093.0,1382.0,1449.0,1387.0,1877.0,2236.0,2293
Operating Profit,119.0,233.0,436.0,399.0,408.0,521.0,449.0,394.0,333.0,345.0,468.0,502
OPM %,25.0,23.0,31.0,23.0,27.0,32.0,25.0,21.0,19.0,16.0,17.0,18
Other Income,2.0,3.0,1.0,1.0,2.0,4.0,5.0,29.0,-36.0,33.0,52.0,39
Interest,27.0,83.0,87.0,83.0,78.0,52.0,14.0,9.0,7.0,13.0,10.0,10
Depreciation,45.0,157.0,224.0,171.0,118.0,121.0,106.0,93.0,90.0,122.0,131.0,137
Profit before tax,49.0,-5.0,126.0,145.0,215.0,353.0,335.0,322.0,199.0,244.0,380.0,394
Tax %,12.0,28.0,4.0,4.0,6.0,5.0,9.0,11.0,6.0,-1.0,35.0,
Net Profit,43.0,-3.0,121.0,139.0,195.0,336.0,305.0,287.0,187.0,247.0,248.0,283
EPS in Rs,10.24,-1.0,28.3,3.2,4.64,7.89,7.13,6.92,4.54,6.11,6.13,7.01
