,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.0,26.0,34.0,32.0,51.0,81.0,114.0,88.0,86.0,86.0,134.0,249.0,311
Expenses,20.0,25.0,31.0,29.0,47.0,73.0,106.0,82.0,81.0,82.0,125.0,231.0,288
Operating Profit,1.0,1.0,2.0,3.0,4.0,8.0,7.0,7.0,4.0,5.0,9.0,18.0,23
OPM %,5.0,6.0,7.0,9.0,8.0,10.0,7.0,8.0,5.0,6.0,6.0,7.0,7
Other Income,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4
Interest,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2
Profit before tax,1.0,1.0,1.0,1.0,1.0,8.0,6.0,4.0,1.0,1.0,5.0,14.0,22
Tax %,-30.0,41.0,62.0,46.0,53.0,34.0,28.0,28.0,28.0,20.0,28.0,23.0,
Net Profit,1.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,1.0,4.0,11.0,16
EPS in Rs,1.04,0.42,0.12,0.2,0.24,1.96,0.22,0.16,0.04,0.05,0.2,0.5,0.77
