,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2022,Mar 2023,TTM
Sales,36.0,66.0,117.0,150.0,144.0,193.0,311.0,305.0,801.0,662.0,583
Expenses,31.0,48.0,80.0,106.0,113.0,153.0,241.0,246.0,657.0,640.0,567
Operating Profit,6.0,18.0,37.0,44.0,31.0,41.0,70.0,59.0,144.0,21.0,16
OPM %,16.0,28.0,32.0,29.0,21.0,21.0,23.0,19.0,18.0,3.0,3
Other Income,0.0,0.0,0.0,-4.0,4.0,4.0,3.0,1.0,3.0,3.0,2
Interest,3.0,4.0,7.0,7.0,7.0,28.0,36.0,37.0,30.0,34.0,33
Depreciation,3.0,3.0,5.0,6.0,6.0,16.0,17.0,17.0,58.0,54.0,51
Profit before tax,0.0,12.0,25.0,27.0,22.0,2.0,20.0,6.0,59.0,-64.0,-66
Tax %,83.0,0.0,30.0,37.0,43.0,53.0,13.0,32.0,29.0,9.0,
Net Profit,0.0,12.0,18.0,17.0,12.0,1.0,17.0,4.0,42.0,-58.0,-60
EPS in Rs,0.01,3.07,4.65,4.44,3.22,0.19,4.52,1.14,10.93,-19.79,-20.27
