,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1549.0,1842.0,2065.0,2694.0,2423.0,2474.0,2634.0,2931.0,3056.0,1708.0,2388.0,3452.0,3456
Expenses,1310.0,1556.0,1728.0,2343.0,2129.0,2178.0,2271.0,2441.0,2210.0,1540.0,1960.0,2647.0,2647
Operating Profit,239.0,287.0,338.0,351.0,294.0,296.0,364.0,490.0,846.0,169.0,427.0,804.0,809
OPM %,15.0,16.0,16.0,13.0,12.0,12.0,14.0,17.0,28.0,10.0,18.0,23.0,23
Other Income,165.0,29.0,18.0,75.0,97.0,18.0,49.0,66.0,66.0,87.0,54.0,39.0,5
Interest,10.0,12.0,13.0,18.0,16.0,15.0,15.0,14.0,129.0,108.0,99.0,118.0,112
Depreciation,41.0,51.0,59.0,79.0,79.0,65.0,60.0,64.0,296.0,265.0,242.0,295.0,315
Profit before tax,352.0,253.0,283.0,329.0,297.0,234.0,337.0,478.0,487.0,-117.0,140.0,430.0,388
Tax %,27.0,32.0,33.0,30.0,27.0,32.0,35.0,31.0,32.0,23.0,26.0,25.0,
Net Profit,259.0,172.0,191.0,231.0,217.0,159.0,221.0,329.0,329.0,-89.0,103.0,323.0,290
EPS in Rs,20.14,13.39,14.86,18.0,16.91,12.37,17.16,25.6,25.59,-6.95,8.01,25.13,22.54
