,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.97,9.91,9.91,9.91,9.91,14.27,14.27,14.27
Reserves,-0.05,2.77,3.51,4.24,4.38,1.07,3.22,4.36
Borrowings,0.0,0.59,0.0,0.63,0.6000000000000001,2.32,1.41,0.44
Other Liabilities,0.06,2.31,1.62,8.25,11.19,17.68,2.94,1.47
Total Liabilities,0.98,15.58,15.04,23.03,26.08,35.34,21.84,20.54
Fixed Assets,0.0,0.03,0.11,0.11,0.39,0.5,0.41,0.45
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.94,1.94
Other Assets,0.98,15.55,14.93,22.92,25.69,34.24,20.49,18.15
Total Assets,0.98,15.58,15.04,23.03,26.08,35.34,21.84,20.54
