,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,59.0,74.0,67.0,73.0,101.0,138.0,114.0,132.0,96.0,102.0,103.0,152.0,199
Expenses,57.0,70.0,65.0,71.0,98.0,131.0,107.0,120.0,80.0,88.0,93.0,142.0,183
Operating Profit,2.0,3.0,2.0,2.0,3.0,7.0,7.0,12.0,15.0,14.0,10.0,10.0,15
OPM %,4.0,4.0,3.0,3.0,3.0,5.0,6.0,9.0,16.0,13.0,10.0,7.0,8
Other Income,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,4
Interest,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,2.0,3.0,1.0,2.0,3.0,4.0,7.0,10.0,15.0,14.0,12.0,13.0,18
Tax %,45.0,32.0,64.0,40.0,62.0,52.0,39.0,30.0,23.0,27.0,26.0,35.0,
Net Profit,1.0,2.0,0.0,1.0,1.0,2.0,4.0,7.0,12.0,10.0,9.0,8.0,12
EPS in Rs,1.91,4.58,0.97,1.82,2.39,4.18,8.03,14.05,22.91,19.91,17.21,16.63,23.72
