,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,118.0,138.0,186.0,187.0,179.0,168.0,195.0,145.0,130.0,125.0,116.0,118.0
Expenses,104.0,120.0,172.0,170.0,165.0,158.0,177.0,141.0,120.0,113.0,109.0,105.0
Operating Profit,14.0,18.0,14.0,17.0,14.0,10.0,17.0,4.0,10.0,11.0,7.0,13.0
OPM %,12.0,13.0,7.0,9.0,8.0,6.0,9.0,3.0,8.0,9.0,6.0,11.0
Other Income,94.0,8.0,7.0,4.0,5.0,12.0,6.0,7.0,5.0,-43.0,6.0,6.0
Interest,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Profit before tax,101.0,19.0,15.0,17.0,15.0,18.0,20.0,8.0,11.0,-35.0,10.0,16.0
Tax %,29.0,27.0,25.0,26.0,29.0,2.0,29.0,63.0,28.0,-12.0,43.0,27.0
Net Profit,72.0,14.0,12.0,13.0,11.0,18.0,14.0,3.0,8.0,-39.0,6.0,12.0
EPS in Rs,4.04,0.79,0.65,0.71,0.6,0.98,0.8,0.17,0.47,-2.19,0.31,0.65
