,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,107.71,103.81,144.95,122.61,96.17,50.82,71.89,43.96,63.43,72.97,187.69,32.67,24.14
Expenses,85.75,81.39,120.51,103.31,76.58,40.29,57.73,41.87,52.5,58.09,164.78,29.9,19.92
Operating Profit,21.96,22.42,24.44,19.3,19.59,10.53,14.16,2.09,10.93,14.88,22.91,2.77,4.22
OPM %,20.39,21.6,16.86,15.74,20.37,20.72,19.7,4.75,17.23,20.39,12.21,8.48,17.48
Other Income,2.16,2.43,1.52,1.6,3.17,2.46,2.84,3.07,3.12,2.21,3.35,2.94,2.75
Interest,6.51,5.84,6.95,4.9,9.37,11.42,10.74,11.85,9.37,8.48,5.44,3.73,3.72
Depreciation,1.18,1.42,1.37,1.51,1.38,1.21,0.92,0.8,3.51,1.36,3.67,0.76,0.69
Profit before tax,16.43,17.59,17.64,14.49,12.01,0.36,5.34,-7.49,1.17,7.25,17.15,1.22,2.56
Tax %,36.52,39.23,39.17,38.1,37.39,430.56,73.78,-12.15,28.21,3.03,41.57,195.9,
Net Profit,10.43,10.69,10.74,8.97,7.52,-0.98,1.05,-8.51,0.46,6.68,11.35,-2.82,0.08
EPS in Rs,14.13,14.48,14.55,12.15,10.18,-1.33,1.42,-11.53,0.62,9.05,15.37,-3.82,0.11
