,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,113.0,141.0,143.0,132.0,162.0,191.0,195.0,156.0,221.0,268.0,260
Expenses,100.0,123.0,131.0,121.0,143.0,164.0,166.0,131.0,186.0,222.0,222
Operating Profit,12.0,18.0,11.0,11.0,19.0,28.0,29.0,25.0,35.0,46.0,38
OPM %,11.0,13.0,8.0,8.0,12.0,14.0,15.0,16.0,16.0,17.0,15
Other Income,2.0,2.0,2.0,-0.0,2.0,1.0,-2.0,-2.0,3.0,1.0,3
Interest,3.0,4.0,8.0,6.0,7.0,8.0,8.0,5.0,5.0,7.0,7
Depreciation,2.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,9
Profit before tax,9.0,13.0,0.0,-0.0,8.0,14.0,12.0,11.0,25.0,32.0,25
Tax %,35.0,34.0,287.0,-2038.0,44.0,34.0,35.0,28.0,20.0,19.0,
Net Profit,6.0,9.0,-1.0,-3.0,5.0,9.0,8.0,8.0,20.0,26.0,19
EPS in Rs,3.3,4.79,0.43,0.67,2.62,5.41,4.44,4.68,11.56,15.19,10.95
