,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2035.0,1620.0,1596.0,1523.0,1015.0,1204.0,1558.0,1854.0,1325.0,1252.0,2161.0,2580.0,2655
Expenses,1819.0,1474.0,1520.0,1495.0,1011.0,1158.0,1478.0,1738.0,1248.0,1266.0,2101.0,2363.0,2331
Operating Profit,216.0,147.0,75.0,28.0,4.0,45.0,80.0,116.0,78.0,-14.0,60.0,217.0,324
OPM %,11.0,9.0,5.0,2.0,0.0,4.0,5.0,6.0,6.0,-1.0,3.0,8.0,12
Other Income,25.0,-46.0,-5.0,99.0,-32.0,10.0,15.0,-18.0,20.0,-2.0,2533.0,12.0,-4
Interest,126.0,158.0,187.0,239.0,282.0,270.0,277.0,278.0,275.0,263.0,13.0,22.0,14
Depreciation,90.0,101.0,109.0,79.0,75.0,66.0,61.0,57.0,66.0,64.0,62.0,59.0,66
Profit before tax,25.0,-158.0,-226.0,-191.0,-385.0,-282.0,-244.0,-237.0,-242.0,-342.0,2517.0,149.0,239
Tax %,-0.0,21.0,14.0,2.0,-2.0,-0.0,0.0,0.0,1.0,-0.0,6.0,41.0,
Net Profit,25.0,-124.0,-194.0,-188.0,-395.0,-282.0,-243.0,-237.0,-240.0,-343.0,2374.0,88.0,129
EPS in Rs,1.72,-8.47,-13.25,-12.84,-26.95,-19.23,-16.57,-16.18,-16.41,-23.38,79.01,2.92,4.30
