,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,108.0,121.0,121.0,94.0,115.0,141.0,169.0,209
Expenses,99.0,113.0,113.0,88.0,105.0,126.0,159.0,190
Operating Profit,9.0,8.0,8.0,6.0,10.0,14.0,10.0,18
OPM %,9.0,7.0,6.0,6.0,9.0,10.0,6.0,9
Other Income,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1
Interest,5.0,3.0,3.0,2.0,2.0,2.0,4.0,7
Depreciation,4.0,4.0,3.0,3.0,3.0,3.0,5.0,8
Profit before tax,1.0,1.0,2.0,1.0,5.0,9.0,3.0,4
Tax %,14.0,11.0,34.0,28.0,29.0,25.0,25.0,
Net Profit,1.0,1.0,1.0,1.0,4.0,7.0,2.0,3
EPS in Rs,2.83,4.62,4.74,3.44,15.71,6.64,1.88,3.23
