,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,543.0,549.0,209.0,149.0,108.0,142.0,239.0,464.0,294.0,404.0,434.0,631.0,702
Expenses,581.0,642.0,332.0,272.0,222.0,302.0,428.0,441.0,353.0,353.0,425.0,625.0,681
Operating Profit,-38.0,-93.0,-124.0,-123.0,-115.0,-160.0,-190.0,23.0,-59.0,51.0,9.0,6.0,21
OPM %,-7.0,-17.0,-59.0,-83.0,-106.0,-112.0,-80.0,5.0,-20.0,13.0,2.0,1.0,3
Other Income,7.0,6.0,7.0,-33.0,15.0,6.0,66.0,115.0,22.0,20.0,31.0,12.0,8
Interest,25.0,28.0,43.0,51.0,66.0,95.0,75.0,66.0,56.0,53.0,66.0,67.0,68
Depreciation,23.0,22.0,17.0,9.0,9.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1
Profit before tax,-78.0,-138.0,-177.0,-215.0,-174.0,-256.0,-203.0,71.0,-95.0,16.0,-26.0,-50.0,-41
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-78.0,-138.0,-177.0,-215.0,-174.0,-256.0,-203.0,71.0,-95.0,16.0,-26.0,-50.0,-41
EPS in Rs,-11.62,-20.54,-26.33,-32.08,-25.89,-38.05,-30.29,10.55,-14.11,2.38,-3.9,-7.48,-6.07
