,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.0,23.0,40.0,53.0,61.0,70.0,98.0,121.0,111.0,117.0,198.0,176.0,156
Expenses,1.0,20.0,35.0,48.0,54.0,62.0,88.0,110.0,104.0,108.0,185.0,161.0,131
Operating Profit,0.0,3.0,6.0,6.0,6.0,7.0,11.0,11.0,7.0,10.0,13.0,16.0,25
OPM %,13.0,13.0,14.0,11.0,11.0,11.0,11.0,9.0,7.0,8.0,6.0,9.0,16
Other Income,0.0,0.0,0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0
Interest,0.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,0.0,1.0,3.0,3.0,3.0,4.0,6.0,7.0,4.0,6.0,9.0,11.0,20
Tax %,0.0,66.0,31.0,6.0,2.0,15.0,21.0,14.0,17.0,26.0,19.0,17.0,
Net Profit,0.0,0.0,2.0,2.0,3.0,3.0,5.0,6.0,4.0,5.0,7.0,9.0,17
EPS in Rs,0.28,7.11,36.18,39.41,54.59,49.9,4.98,6.19,3.53,4.71,6.91,9.25,16.33
