,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,2159.0,3520.0,4503.0,5123.0,6342.0,8504.0,10631.0,11883.0,13068.0,12809.0,7726.0,8981.0,10435
Interest,215.0,575.0,1050.0,511.0,959.0,2031.0,2978.0,4100.0,5321.0,4209.0,4225.0,3994.0,4025
Expenses,2160.0,3086.0,3855.0,4233.0,4751.0,4997.0,5471.0,5264.0,6801.0,5338.0,1984.0,7434.0,5797
Financing Profit,-216.0,-141.0,-402.0,379.0,631.0,1475.0,2182.0,2519.0,947.0,3263.0,1516.0,-2447.0,613
Financing Margin %,-10.0,-4.0,-9.0,7.0,10.0,17.0,21.0,21.0,7.0,25.0,20.0,-27.0,6
Other Income,467.0,158.0,214.0,2946.0,579.0,217.0,260.0,198.0,1555.0,754.0,963.0,8560.0,194
Depreciation,129.0,210.0,247.0,290.0,255.0,382.0,477.0,401.0,520.0,561.0,74.0,123.0,146
Profit before tax,121.0,-193.0,-435.0,3035.0,954.0,1310.0,1964.0,2316.0,1982.0,3456.0,2405.0,5991.0,661
Tax %,5.0,-13.0,-14.0,11.0,5.0,17.0,-146.0,37.0,99.0,59.0,17.0,-66.0,
Net Profit,115.0,-222.0,-501.0,2850.0,905.0,1252.0,5120.0,1464.0,21.0,1413.0,1999.0,9969.0,3906
EPS in Rs,5.47,-11.14,-24.58,139.7,44.35,61.39,250.81,70.26,1.07,59.08,80.57,417.62,163.65
