,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,25.09,8.89,4.53,7.24,3.22,0.95,7.25,0.00,0.00,0.00
Expenses,24.69,9.98,4.32,8.63,3.47,1.12,7.67,0.21,0.22,0.10
Operating Profit,0.4,-1.09,0.21,-1.39,-0.25,-0.17,-0.42,-0.21,-0.22,-0.10
OPM %,1.59,-12.26,4.64,-19.2,-7.76,-17.89,-5.79,,,
Other Income,0.05,5.43,-0.22,0.55,2.29,0.92,1.63,1.21,1.40,0.74
Interest,1.45,1.09,0.45,0.0,0.0,0.0,0.0,0.00,0.00,0.00
Depreciation,1.81,0.18,0.16,0.13,0.09,0.0,0.0,0.00,0.00,0.00
Profit before tax,-2.81,3.07,-0.62,-0.97,1.95,0.75,1.21,1.00,1.18,0.64
Tax %,25.98,-6.84,-82.26,27.84,44.1,32.0,15.7,25.00,25.42,25.00
Net Profit,-2.07,3.27,-1.13,-0.7,1.09,0.51,1.01,0.75,0.88,0.48
EPS in Rs,-1.99,3.14,-1.08,-0.67,1.05,0.49,0.97,0.72,0.84,0.46
