,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,0.0,6.0,408.0,981.0,1543.0,2112.0,2645.0,3194.0,3460.0,4162.0,4832
Interest,0.0,2.0,159.0,460.0,684.0,964.0,1150.0,1396.0,1421.0,1617.0,1969
Expenses,0.0,17.0,230.0,561.0,964.0,1015.0,1304.0,1628.0,2123.0,2361.0,2598
Financing Profit,-0.0,-13.0,19.0,-40.0,-105.0,133.0,191.0,170.0,-84.0,184.0,265
Financing Margin %,-1100.0,-208.0,5.0,-4.0,-7.0,6.0,7.0,5.0,-2.0,4.0,5
Other Income,0.0,0.0,71.0,233.0,241.0,283.0,282.0,418.0,538.0,670.0,744
Depreciation,0.0,0.0,5.0,32.0,88.0,92.0,96.0,76.0,75.0,85.0,0
Profit before tax,-0.0,-13.0,85.0,161.0,49.0,324.0,377.0,511.0,378.0,769.0,1009
Tax %,0.0,0.0,0.0,36.0,34.0,35.0,35.0,25.0,26.0,25.0,
Net Profit,-0.0,-13.0,85.0,104.0,32.0,211.0,244.0,384.0,281.0,574.0,750
EPS in Rs,-3.96,-2.13,2.01,1.04,0.32,2.09,2.31,3.37,2.24,5.16,6.56
