,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,61,423,1006,1006,1006,1053,1139,1252,1111,1122.0
Reserves,0,-13,288,1006,1038,1248,1691,2257,2994,4047,
Borrowings,0,44,1638,6700,10781,12980,15923,20557,21567,28354,
Other Liabilities,0,14,65,533,485,529,628,755,1134,1446,
Total Liabilities,5,105,2414,9245,13310,15763,19296,24708,26948,34958,
Fixed Assets,0,4,11,274,280,236,210,184,189,338,
CWIP,0,0,0,15,1,2,2,1,11,41,
Investments,0,0,0,1890,3857,2344,2343,3705,4450,6665,
Other Assets,5,102,2403,7066,9172,13181,16740,20818,22297,27914,
Total Assets,5,105,2414,9245,13310,15763,19296,24708,26948,34958,
