,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5641.0,5418.0,5715.0,6259.0,5514.0,8594.0,9826.0,11722.0,11904.0,12669.0,14306.0,16837.0,18438
Expenses,3996.0,3857.0,4325.0,4916.0,4107.0,6081.0,7354.0,9066.0,8218.0,8677.0,10656.0,13895.0,15035
Operating Profit,1646.0,1561.0,1390.0,1344.0,1407.0,2513.0,2473.0,2656.0,3686.0,3992.0,3650.0,2942.0,3403
OPM %,29.0,29.0,24.0,21.0,26.0,29.0,25.0,23.0,31.0,32.0,26.0,17.0,18
Other Income,150.0,187.0,104.0,102.0,673.0,362.0,389.0,64.0,260.0,421.0,535.0,432.0,584
Interest,235.0,193.0,129.0,121.0,76.0,129.0,135.0,247.0,287.0,247.0,218.0,269.0,288
Depreciation,873.0,436.0,550.0,925.0,828.0,1215.0,899.0,1392.0,1699.0,1140.0,1036.0,1546.0,1495
Profit before tax,688.0,1119.0,815.0,401.0,1176.0,1531.0,1827.0,1081.0,1960.0,3026.0,2931.0,1559.0,2204
Tax %,10.0,10.0,3.0,-6.0,3.0,13.0,24.0,12.0,20.0,24.0,19.0,15.0,
Net Profit,618.0,1004.0,787.0,426.0,1143.0,1339.0,1384.0,951.0,1570.0,2312.0,2377.0,1328.0,1895
EPS in Rs,177.54,288.19,225.98,122.38,328.13,384.39,397.33,273.0,435.19,640.77,658.7,368.1,525.34
