,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,3,3,3,3,3,3,3
Reserves,53,59,61,77,74,91,107,113,110
Borrowings,99,106,124,150,140,140,113,128,168
Other Liabilities,89,73,76,99,128,123,175,180,207
Total Liabilities,241,238,264,329,346,357,399,423,489
Fixed Assets,133,133,156,206,202,210,243,248,258
CWIP,2,3,4,4,10,9,3,22,26
Investments,0,8,9,0,3,5,6,11,13
Other Assets,106,95,96,119,131,133,147,143,191
Total Assets,241,238,264,329,346,357,399,423,489
