,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,920.0,981.0,771.0,1005.0,1168.0,711.0,388.0,584.0,414.0,1.0,1.0,1.0,1
Expenses,64.0,-30.0,167.0,389.0,526.0,230.0,68.0,286.0,898.0,12.0,12.0,20.0,19
Operating Profit,856.0,1011.0,604.0,616.0,643.0,481.0,320.0,298.0,-484.0,-11.0,-11.0,-18.0,-18
OPM %,93.0,103.0,78.0,61.0,55.0,68.0,82.0,51.0,-117.0,-1256.0,-1762.0,-1408.0,-1193
Other Income,147.0,-270.0,170.0,86.0,20.0,35.0,15.0,17.0,-13393.0,1.0,2.0,1.0,1
Interest,579.0,568.0,510.0,388.0,369.0,300.0,268.0,192.0,111.0,0.0,0.0,0.0,0
Depreciation,8.0,8.0,8.0,7.0,8.0,7.0,7.0,5.0,9.0,3.0,3.0,3.0,3
Profit before tax,415.0,165.0,256.0,308.0,286.0,209.0,59.0,118.0,-13997.0,-12.0,-12.0,-20.0,-19
Tax %,7.0,12.0,4.0,26.0,-19.0,16.0,-60.0,18.0,0.0,0.0,0.0,0.0,
Net Profit,387.0,145.0,245.0,226.0,340.0,175.0,95.0,96.0,-13967.0,-12.0,-12.0,-20.0,-19
EPS in Rs,9.24,3.47,5.84,5.4,8.13,4.04,2.2,2.12,-294.67,-0.26,-0.26,-0.42,-0.41
