,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,TTM
Sales,1220.0,1424.0,1662.0,1875.0,1755.0,1733.0,1677.0,1862.0,1679.0,1982.0,2256.0,2477.0,2525
Expenses,1112.0,1290.0,1589.0,1684.0,1448.0,1348.0,1290.0,1478.0,1319.0,1522.0,1773.0,1937.0,1985
Operating Profit,108.0,134.0,73.0,191.0,306.0,385.0,387.0,384.0,360.0,460.0,483.0,540.0,540
OPM %,9.0,9.0,4.0,10.0,17.0,22.0,23.0,21.0,21.0,23.0,21.0,22.0,21
Other Income,33.0,36.0,38.0,68.0,50.0,34.0,8.0,11.0,11.0,32.0,7.0,22.0,28
Interest,0.0,0.0,0.0,5.0,6.0,7.0,7.0,8.0,5.0,5.0,11.0,8.0,7
Depreciation,24.0,31.0,33.0,39.0,30.0,38.0,42.0,48.0,51.0,58.0,68.0,81.0,83
Profit before tax,117.0,138.0,78.0,215.0,320.0,374.0,345.0,339.0,314.0,429.0,411.0,473.0,478
Tax %,35.0,37.0,34.0,26.0,33.0,32.0,34.0,25.0,27.0,28.0,30.0,25.0,
Net Profit,76.0,87.0,51.0,158.0,214.0,253.0,229.0,253.0,230.0,310.0,289.0,356.0,362
EPS in Rs,23.24,26.75,15.78,48.53,65.73,77.67,70.29,77.62,70.64,95.25,88.79,109.15,110.98
