,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.0,129.0,168.0,107.0,107.0,148.0,147.0,84.0,63.0,329.0,454.0,440
Expenses,24.0,130.0,166.0,104.0,110.0,149.0,145.0,85.0,71.0,329.0,429.0,415
Operating Profit,-2.0,-1.0,2.0,2.0,-3.0,-1.0,2.0,-1.0,-8.0,0.0,25.0,25
OPM %,-9.0,-1.0,1.0,2.0,-3.0,-1.0,2.0,-1.0,-12.0,0.0,6.0,6
Other Income,1.0,2.0,1.0,1.0,3.0,3.0,-1.0,2.0,1.0,6.0,3.0,4
Interest,1.0,1.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,7.0,9
Depreciation,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2
Profit before tax,-2.0,-1.0,0.0,1.0,-3.0,-4.0,-2.0,-2.0,-9.0,2.0,20.0,18
Tax %,-3.0,-55.0,76.0,64.0,-4.0,3.0,-45.0,0.0,28.0,-7.0,19.0,
Net Profit,-2.0,-1.0,0.0,0.0,-3.0,-4.0,-2.0,-2.0,-7.0,2.0,16.0,15
EPS in Rs,-0.62,-1.02,0.06,0.18,-1.78,-1.85,-1.25,-0.98,-3.47,1.25,8.12,7.50
