,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.14,0.14,0.32,0.1,0.13,0.13,0.13,0.13,0.26,0.17,0.14,0.17,0.58
Expenses,0.75,0.76,7.15,0.66,0.95,1.12,0.8,1.2,1.57,0.89,0.72,0.87,0.99
Operating Profit,-0.61,-0.62,-6.83,-0.56,-0.82,-0.99,-0.67,-1.07,-1.31,-0.72,-0.58,-0.7,-0.41
OPM %,-435.71,-442.86,-2134.38,-560.0,-630.77,-761.54,-515.38,-823.08,-503.85,-423.53,-414.29,-411.76,-70.69
Other Income,0.58,0.28,0.73,0.48,0.21,0.67,0.3,1.33,0.09,0.73,1.68,0.09,0.17
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00,0.0,0.0,0.00
Depreciation,0.01,0.01,0.01,0.2,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.00
Profit before tax,-0.04,-0.35,-6.11,-0.28,-0.61,-0.32,-0.38,0.24,-1.24,0.00,1.09,-0.62,-0.24
Tax %,0.0,0.0,0.0,-21.43,0.0,0.0,0.0,-75.0,0.0,,13.76,-30.65,
Net Profit,-0.04,-0.35,-6.11,-0.34,-0.61,-0.32,-0.37,0.42,-1.24,0.00,0.95,-0.8,-0.45
EPS in Rs,-0.03,-0.29,-5.14,-0.29,-0.51,-0.27,-0.31,0.35,-1.04,0.00,0.8,-0.67,-0.38
