,Mar 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.54,106.88,34.39,35.24,18.47,12.89,10.85,11.27,10.3,5.64,7.45,9.67,9.54
Expenses,26.38,110.42,41.87,41.95,24.55,16.88,13.34,16.64,14.08,8.94,10.14,11.8,11.53
Operating Profit,1.16,-3.54,-7.48,-6.71,-6.08,-3.99,-2.49,-5.37,-3.78,-3.3,-2.69,-2.13,-1.99
OPM %,4.21,-3.31,-21.75,-19.04,-32.92,-30.95,-22.95,-47.65,-36.7,-58.51,-36.11,-22.03,-20.86
Other Income,2.76,3.11,2.75,1.06,16.69,0.63,2.67,24.71,0.31,0.07,6.38,1.43,1.34
Interest,1.56,5.01,7.4,5.06,3.84,2.44,2.66,1.83,0.91,1.31,1.41,1.37,1.48
Depreciation,2.26,3.38,3.12,2.04,2.01,1.85,1.72,0.97,0.2,0.21,0.23,0.23,0.24
Profit before tax,0.1,-8.82,-15.25,-12.75,4.76,-7.65,-4.2,16.54,-4.58,-4.75,2.05,-2.3,-2.37
Tax %,70.0,4.31,-0.92,0.71,-3.36,0.52,11.43,-20.44,0.22,38.53,5.37,0.0,
Net Profit,0.03,-8.45,-15.38,-12.66,4.92,-7.61,-3.72,19.93,-4.57,-2.92,1.95,-2.3,-2.38
EPS in Rs,1.0,-281.67,-512.67,-422.0,164.0,-253.67,-124.0,664.33,-152.33,-97.33,65.0,-76.67,-79.33
