,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1059.0,1367.0,1520.0,1466.0,1870.0,2264.0,777.0,1879.0,3541.0,3880
Expenses,907.0,1176.0,1206.0,1192.0,1487.0,1562.0,589.0,1005.0,2265.0,2520
Operating Profit,152.0,190.0,314.0,274.0,383.0,703.0,188.0,874.0,1276.0,1360
OPM %,14.0,14.0,21.0,19.0,20.0,31.0,24.0,47.0,36.0,35
Other Income,82.0,139.0,67.0,99.0,126.0,77.0,124.0,72.0,148.0,132
Interest,0.0,0.0,3.0,3.0,2.0,10.0,8.0,11.0,16.0,17
Depreciation,20.0,21.0,22.0,24.0,29.0,40.0,46.0,49.0,54.0,49
Profit before tax,214.0,309.0,355.0,346.0,479.0,730.0,258.0,885.0,1354.0,1425
Tax %,39.0,39.0,35.0,36.0,36.0,30.0,27.0,26.0,26.0,
Net Profit,131.0,189.0,229.0,221.0,309.0,513.0,187.0,660.0,1006.0,1061
EPS in Rs,13.06,18.86,11.45,11.03,3.86,6.41,2.34,8.24,12.57,13.25
