,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,56.2,58.3,30.79,34.47,25.35,63.01,39.7,37.68,42.76,31.06,36.01,32.33,31.79
Expenses,39.13,28.01,21.51,17.19,17.51,23.82,30.76,27.6,26.04,18.69,20.26,21.26,21.52
Operating Profit,17.07,30.29,9.28,17.28,7.84,39.19,8.94,10.08,16.72,12.37,15.75,11.07,10.27
OPM %,30.37,51.96,30.14,50.13,30.93,62.2,22.52,26.75,39.1,39.83,43.74,34.24,32.31
Other Income,4.41,-9.76,-14.28,0.01,0.01,0.08,0.01,0.01,0.12,0.07,0.01,0.02,0.48
Interest,8.48,12.18,12.94,9.05,8.49,13.42,7.14,7.64,10.61,8.47,9.69,6.55,8.25
Depreciation,2.35,2.5,1.51,0.71,0.69,0.54,0.57,0.59,1.24,1.17,1.08,0.95,0.93
Profit before tax,10.65,5.85,-19.45,7.53,-1.33,25.31,1.24,1.86,4.99,2.8,4.99,3.59,1.57
Tax %,43.38,27.35,-7.3,17.66,35.34,29.67,74.19,-3.76,37.68,68.21,25.25,42.9,
Net Profit,6.03,4.24,-20.86,6.2,-0.85,17.8,0.32,1.93,3.11,0.88,3.73,2.06,-0.35
EPS in Rs,4.9,3.45,-16.96,5.04,-0.69,14.48,0.26,1.57,2.53,0.72,3.03,1.68,-0.28
