,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2619.0,3066.0,3248.0,3747.0,5078.0,5619.0,5450.0,6570.0,8014.0,9107
Expenses,2220.0,2547.0,2663.0,3172.0,4164.0,4509.0,4442.0,5155.0,6303.0,7257
Operating Profit,399.0,519.0,586.0,576.0,915.0,1110.0,1007.0,1415.0,1711.0,1850
OPM %,15.0,17.0,18.0,15.0,18.0,20.0,18.0,22.0,21.0,20
Other Income,25.0,84.0,58.0,193.0,223.0,209.0,154.0,152.0,208.0,214
Interest,3.0,2.0,2.0,2.0,2.0,36.0,46.0,44.0,44.0,48
Depreciation,48.0,59.0,62.0,89.0,104.0,183.0,218.0,214.0,232.0,241
Profit before tax,372.0,542.0,579.0,678.0,1031.0,1100.0,897.0,1309.0,1644.0,1775
Tax %,16.0,23.0,27.0,25.0,26.0,25.0,26.0,27.0,29.0,
Net Profit,311.0,419.0,425.0,507.0,768.0,822.0,666.0,961.0,1174.0,1274
EPS in Rs,10.36,55.88,41.78,49.39,73.61,78.33,63.14,90.68,110.77,120.23
