,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,300,300,20,20,21,21,21,21,21,21.0
Reserves,2,766,1465,1916,2458,2748,3452,4141,4930,4768.0
Preference Capital,750,0,0,0,0,0,0,0,0,
Borrowings,219,196,102,70,70,30,480,477,454,551.0
Other Liabilities,1257,681,644,696,802,1504,1113,1438,1498,2371.0
Total Liabilities,1778,1942,2232,2702,3352,4303,5066,6077,6904,7711.0
Fixed Assets,569,621,614,709,780,1174,1282,1283,1294,1385.0
CWIP,0,14,2,0,0,9,12,10,6,121.0
Investments,0,56,195,221,575,642,1515,1478,2284,1320.0
Other Assets,1208,1252,1421,1772,1997,2479,2257,3307,3319,4884.0
Total Assets,1778,1942,2232,2702,3352,4303,5066,6077,6904,7711.0
