,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,58.0,60.0,48.0,39.0,67.0,76.0,82.0,111.0,100.0,153.0,144.0,180.0,225
Expenses,52.0,53.0,39.0,42.0,57.0,65.0,71.0,91.0,85.0,124.0,127.0,157.0,185
Operating Profit,6.0,7.0,9.0,-2.0,10.0,11.0,10.0,20.0,14.0,29.0,17.0,23.0,40
OPM %,11.0,11.0,19.0,-6.0,15.0,14.0,12.0,18.0,14.0,19.0,12.0,13.0,18
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,4
Interest,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
Depreciation,1.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2
Profit before tax,4.0,5.0,4.0,-8.0,6.0,8.0,8.0,18.0,15.0,29.0,19.0,23.0,41
Tax %,32.0,33.0,34.0,4.0,16.0,18.0,25.0,29.0,27.0,26.0,26.0,25.0,
Net Profit,3.0,3.0,3.0,-8.0,5.0,7.0,6.0,13.0,11.0,21.0,14.0,17.0,31
EPS in Rs,3.02,3.38,2.76,-4.67,2.97,4.23,3.67,8.02,6.74,13.18,8.56,10.71,18.90
