,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,820.0,998.0,1008.0,1108.0,1105.0,1326.0,1184.0,782.0,1355.0,2083.0,1918
Expenses,716.0,908.0,901.0,894.0,898.0,1030.0,917.0,675.0,1189.0,1549.0,1427
Operating Profit,105.0,90.0,107.0,214.0,207.0,296.0,267.0,108.0,166.0,534.0,491
OPM %,13.0,9.0,11.0,19.0,19.0,22.0,23.0,14.0,12.0,26.0,26
Other Income,5.0,3.0,4.0,12.0,15.0,25.0,31.0,26.0,24.0,40.0,52
Interest,44.0,37.0,32.0,23.0,14.0,14.0,7.0,3.0,3.0,3.0,3
Depreciation,49.0,29.0,29.0,31.0,32.0,34.0,35.0,38.0,41.0,45.0,44
Profit before tax,16.0,26.0,50.0,172.0,176.0,273.0,256.0,93.0,146.0,525.0,496
Tax %,-25.0,32.0,29.0,23.0,30.0,30.0,29.0,-15.0,24.0,25.0,
Net Profit,20.0,16.0,36.0,132.0,123.0,192.0,182.0,106.0,110.0,396.0,374
EPS in Rs,3.64,2.61,5.71,20.97,19.54,30.44,28.79,16.87,17.44,62.76,59.34
