,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,251.0,293.0,339.0,377.0,462.0,459.0,494
Expenses,171.0,184.0,206.0,211.0,259.0,277.0,295
Operating Profit,80.0,108.0,133.0,166.0,204.0,182.0,199
OPM %,32.0,37.0,39.0,44.0,44.0,40.0,40
Other Income,7.0,10.0,15.0,12.0,13.0,14.0,21
Interest,5.0,14.0,15.0,15.0,16.0,21.0,23
Depreciation,26.0,40.0,49.0,50.0,53.0,62.0,58
Profit before tax,55.0,65.0,83.0,112.0,147.0,114.0,139
Tax %,37.0,29.0,25.0,24.0,25.0,25.0,
Net Profit,35.0,46.0,63.0,85.0,111.0,85.0,104
EPS in Rs,77.44,101.29,138.0,18.64,10.76,8.29,10.12
